day_num,weekday,extra,Как вы участвовали сегодня?,Оцените уровень сложности сегодняшнего дня,Насколько было интересно сегодня?,"Оцените качество материалов (слайды, задания, примеры и т.д.)"
10,вторник,Часть Ивана Позднякова,Смотрю ЗАПИСЬ в RUTUBE,Слишком легко/медленно,Нейтрально,Хорошо
10,вторник,Часть Ивана Позднякова,Смотрю ЗАПИСЬ в RUTUBE,Слишком легко/медленно,Нейтрально,Нормально
9,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Слишком сложно/быстро,Очень интересно,Хорошо
9,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Слишком сложно/быстро,Очень интересно,Хорошо
9,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Оптимально,Очень интересно,Нормально
9,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в RUTUBE,Оптимально,Нейтрально,Хорошо
9,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Слишком сложно/быстро,Очень интересно,Хорошо
9,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Слишком сложно/быстро,Нейтрально,Хорошо
9,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Слишком сложно/быстро,Нейтрально,Хорошо
9,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Слишком сложно/быстро,Нейтрально,Нормально
9,четверг,Часть Ивана Позднякова,Смотрю ЗАПИСЬ в RUTUBE,Оптимально,Очень интересно,Хорошо
